STT,Tên món,Giới thiệu,Loại món,Khẩu phần,Time Cooking,Nguyên liệu,Cách làm,Tags,Calories,Fat Amount,Fiber Amount,Sugar Amount,Protein Amount,Link Ảnh
81,Đậu Hủ Kho Tương Hột,"Đậu Hủ Kho Tương Hột một món chay ngon ăn rất thích hợp cho những ngày ăn chay hoặc ăn trong bữa cơm gia đình hàng ngày. Đậu hủ được chiên vàng kho với tương hột nêm nếm đậm đà vừa ăn, thơm mặn vị đặc trưng của đậu tương, rất phù hợp để ăn kèm cơm nóng và rau củ luộc. Nào cùng đến với công thức món Đậu Hủ Kho Tương Hột  của Cooky ngay thôi!",Món mặn,2 người,45,"Đậu hũ trắng 2 miếng,  Hành baro 1 cây,  Sả 2 cây,  Tương hột 50 gr,  Đường 30 gr,  Nước tương 2 muỗng canh","Đậu hủ cắt miếng vừa ăn đem chiên vàng giòn đều,  vớt ra để ráo dầu,  hành baro cắt lát mỏng,  sả băm nhuyễn.,  Cho 1 ít dầu ăn vào thố phi thơm hành và sả băm,  cho 50gr tương hột,  30gr đường,  2 muỗng canh nước tương,  xào đều gia vị cho đậu hủ vào đảo lên xào khoảng 1 phút,  cho 100 ml nước vào hạ lửa nhỏ để sôi liu riu khoảng 15 phút nước vừa cạn bớt là được. Lưu ý,  bạn nên thử độ mặn của tương hột trước khi nêm vì mỗi loại tương hột sẽ có độ mặn khác nhau để tăng giảm định lượng cho phù hợp.,  Dọn đậu hủ ra thố hoặc tô,  rắc tiêu xay,  trang trí ớt sừng,  hành lá,  ăn kèm cơm nóng. Nước kho tương hột đặc sánh đậm đà có thể chan cơm hay chấm cùng rau củ luộc sẽ rất ngon miệng và tốt cho sức khỏe.",đậu hủ kho tương hột,276,14,5,17,12,https://image.cooky.vn/recipe/g6/55496/s640/7cfc4ee4-bcd4-4513-8e13-c4a2576f0884.jpeg
82,Chè Khoai Lang Tím Sương Sáo,"Chè khoai lang tím sương sáo là một trong những món chè được khá nhiều người ưa thích, giúp giải nhiệt ngày hè. Cách làm chè khoai lang tím sương sáo tại nhà cũng khá đơn giản. Chỉ cần vài nguyên liệu cùng ít thời gian là đã có nồi chè thơm ngon. Cùng Cooky trổ tài để các thành viên trong gia đình thưởng thức nhé!",Món mặn,5 người,35,"Khoai lang tím 200gr,  Bột năng 150gr,  Bột sương sáo 30gr,  Bơ 20gr,  Đường phèn 50gr,  Sữa tươi không đường 200ml,  Nước cốt dừa 150ml,  Sữa đặc 70gr,  Muối ¼ muỗng cà phê,  Lá dứa 5 lá","Làm viên khoai pha lê: Khoai lang tím gọt vỏ rửa sạch hấp chín xay nhuyễn chia làm 2 phần. Cho vào chảo 100g khoai đã xay,  thêm 20gr bơ đảo đều cho bơ tan chảy và hòa vào với khoai,  thêm 20gr sữa đặc. Đảo đều với lửa nhỏ cho đến khi nhân khô ráo. Chia đều thành các viên khoảng 10g,  bọc lại để nhân không bị khô. Tiếp đến,  trộn từ từ 80g nước nóng vào 100g bột năng (140g bột + 90ml nước) cho đến khi được khối bột dẻo mịn. Chia bột thành từng phần khoảng 7g,  cán mỏng rồi đặt viên nhân khoai vào bọc kín,  bỏ phần bột thừa để viên khoai được tròn đẹp.,  Luộc viên khoai: Bắc nồi nước lên bếp. Khi nước bắt đầu sôi tăm thì thả viên khoai vào,  dùng muôi khuấy nhẹ để viên khoai không bị dính vào nhau và dính vào đáy nồi. Luộc trong 8 phút với lừa vừa. Sau khi các viên chè nổi lên thì hạ xuống lửa vừa,  luộc thêm 10 phút nữa cho viên khoai trong suốt. Vớt viên khoai ra tô nước đá lọc lạnh để giữ được độ dẻo dai.,  Viên khoai dẻo: Cho vào tô 100g khoai nghiền,  thêm 50g-70g bột năng,  nhồi đều cho thành khối. Sau đó,  se dài khối bột và cắt thành những viên nhỏ. Bắc nồi nước lên bếp,  nước sôi thì thả các viên khoai vào luộc đến khi viên khoai dẻo nổi lên mặt nước,  vớt ra tô nước lạnh để khoai được dẻo.,  Nấu nước cốt chè: Cho vào nồi 200ml sữa tươi không đường,  150ml nước cốt dừa,  50gr sữa đặc,  ¼ muỗng cà phê muối,  lá dứa đun sôi hỗn hợp rồi tắt bếp để nguội.,  Thành phẩm: Múc viên khoai pha lê,  khoai dẻo,  sương sáo vào chén,  chan nước cốt,  vị béo ngọt của khoai lang tím,  thanh mát của sương sáo,  làm kích thích vô cùng,  món này ngon hơn khi dùng với đá.",chè khoai lang tím sương sáo,441,29,10,16,7,https://image.cooky.vn/recipe/g6/55715/s640/6ec4637e-79bf-4292-a0e1-aa25f1c65301.jpeg
83,Tôm Thịt Ram Mặn,"Tôm thịt ram mặn món ăn được nhiều người yêu thích, có cách làm đơn giản, nhanh gọn, hương vị đậm đà, hấp dẫn. Vị béo ngậy của thịt ba chỉ cùng với vị ngọt thanh tự nhiên của tôm hòa lẫn vào nhau tạo nên món tôm thịt ram mặn vô cùng hấp dẫn và đưa cơm.",Món mặn,2 người,35,"Thịt ba chỉ 400gr,  Tôm thẻ 300gr,  Nước mắm Chinsu 2 muỗng canh,  Tiêu 1/2 muỗng canh,  Đường 1/2 muỗng canh","Sơ chế: Đem thịt ba chỉ và tôm rửa sạch,  thấm khô. Tôm rút chỉ đen,  cắt đầu,  chân và râu. Thịt ba chỉ cắt lát mỏng vừa ăn. Đem ướp thịt và tôm với Nước mắm,  đường,  tiêu khoảng 10 phút.,  Phi thơm hành tím băm,  tỏi băm,  ớt băm,  cho phần thịt và tôm đã ướp vào xào săn trên lửa vừa trong 2 - 3 phút,  cho tiếp nước dừa vào đun đến khi nước sệt lại,  nêm nếm lại cho vừa vị,  tắt bếp.,  Dọn món ra mâm cơm,  cho một ít hành lá cắt nhuyễn,  tiêu lên mặt. Dù chỉ là một món bình dân quen thuộc với mỗi gia đình Việt Nam,  món tôm thịt ram mặn vẫn có giá trị riêng,  mang vị mặn ngọt hài hòa giữa tôm và thịt,  màu sắc hấp dẫn,  ăn kèm với cơm trắng rất ngon.",tôm thịt ram mặn,306,12,8,21,11,https://image.cooky.vn/recipe/g6/54513/s640/64a2823a-3198-4bd9-b4e6-ff88955729a3.jpeg
84,Chè Sake Bạch Quả,"Sake dẻo bùi kết hợp cùng bạch quả nhẫn đắng ngập trong nước cốt dừa béo thơm tạo nên một món chè vô cùng ngon miệng. Với những nguyên liệu quen thuộc và trong những ngày thời tiết oi nóng, bạn có thể thử ngay món chè sake bạch quả để thưởng thức. Cùng Cooky thực hiện nhé!",Món mặn,4 người,40,"Trái sake 250 Gr,  Bạch quả 150 Gr,  Nước cốt dừa 400 ml,  Bột báng 40 Gr,  Đường trắng 200 Gr,  Muối 1 Muỗng cà phê,  Đậu phộng rang","Sơ chế sake: Sake gọt vỏ bỏ cùi,  cắt quân cờ khoảng 2cm rồi ngâm vào thau nước có pha 1/2 muỗng cà phê muối khoảng 10 phút để loại bỏ mủ,  sau đó vớt ra rửa lại với nước sạch rồi để ráo. Luộc 250gr sake khoảng 10 - 15 phút với lửa lớn cho chín mềm sau đó vớt ra rổ cho ráo nước.,  Sơ chế bạch quả: Bạch quả đập bể vỏ,  lấy phần hạt bên trong sau đó nấu khoảng 20 - 30 phút với lửa lớn để hạt bạch quả chín mềm. Khi bạch quả chín thì vớt ra tô nước đá lạnh. Bỏ lớp vỏ lụa màu nâu bên ngoài vớt lấy phần hạt ra rổ,  để ráo.,  Sơ chế bột báng: Luộc 40g bột báng đến khi chín trong thì vớt ra bỏ vào tô nước đá lạnh để bột báng không bị dính lại với nhau. Sau đó vớt ra rổ để ráo.,  Nấu chè: Cho vào nồi 200ml nước lọc,  400ml nước cốt dừa,  1/2 muỗng cà phê muối,  200gr đường trắng rồi đun sôi với lửa nhỏ. Khi nước chè sôi thì cho sake,  bạch quả,  bột báng vào nấu khoảng 5 phút hoặc khi thấy nước chè sôi trở lại thì tắt bếp.,  Thành phẩm: Múc chè ra chén,  rắc thêm ít đậu phộng rang và thưởng thức. Chè sake bạch quả có thể dùng nóng hoặc ăn lạnh với đá đều ngon. Sake mềm bùi kết hợp với bạch quả dẻo ngọt,  hơi nhẫn đắng nhưng hương vị cực kỳ hấp dẫn khi thưởng thức cùng nước cốt dừa và đậu phộng rang.",chè sake bạch quả,491,12,3,29,7,https://image.cooky.vn/recipe/g6/55534/s640/3a20aed7-77a9-4fa4-829d-a4c869f5c8d9.jpeg
85,Khoai Lang Trộn Dừa,"Khoai lang trộn dừa, món ăn vặt được chế biến siêu đơn giản với các nguyên liệu dễ tìm. Món ăn có chút biến tấu từ khoai lang luộc đơn điệu, làm cho món ăn thêm lôi cuốn và hấp dẫn hơn. Khoai lang mềm dẻo, được trộn chung với với cơm dừa ngay giòn béo làm cho món ăn thêm hài hòa và độc đáo hơn.",Món mặn,4 người,20,"Khoai lang vàng 700gr,  Dừa non bào sợi 200gr,  Đường cát 40gr,  Muối 1/2 muỗng canh","Đầu tiên,  bắt nồi nước sôi,  cho vào 1/2 muỗng canh muối,  rồi cho 800gr khoai lang vào luộc chín mền.,  Vớt khoai ra để nguội rồi lột sạch vỏ,  sau đó dùng chày giã nhuyễn khoai. Cho thêm vào 40gr đường cát,  200gr cơm dừa bào sợi dùng tay trộn đều hỗn hợp.,  Kế tiếp,  vò khoai lang thành từng viên vừa ăn,  cho khoai lang trộn dừa ra dĩa rắc thêm dừa sợi lên trên cho bắt mắt hơn là có thể thưởng thức được rồi. Khoai lang bùi,  dẻo trộn với cơm dừa non giòn giòn thêm chút đường cát cho đậm đà hơn sẽ làm hài lòng những thực khách ngay từ miếng đầu tiên.",khoai lang trộn dừa,243,14,3,28,31,https://image.cooky.vn/recipe/g6/55531/s640/a5e61e34-7c7b-4a29-a459-c43a8ca4add1.jpeg
86,Bánh Tro,Bánh tro hay bánh gio là một món bánh truyền thống không thể thiếu trong dịp Tết Đoan Ngọ. Nhìn có vẻ phức tạp nhưng món bánh này hoàn toàn có thể làm tại nhà với những nguyên liệu dễ tìm. Bạn có thể sử dụng nước tro tàu để thay cho cách lấy tro từ các loại lá cây. Cùng Cooky thực hiện nhé!,Món mặn,5 người,40,"Gạo nếp 500 Gr,  Đậu xanh cà vỏ 100 Gr,  Nước tro tàu 500 ml,  Đường 50 Gr,  Lá chuối 200 Gr,  Dây lạt 50 Gr","Ngâm gạo: Vo sạch 500g gạo nếp rồi cho vào một tô lớn thêm 1 lít nước,  500ml nước tro tàu,  ngâm khoảng 22 tiếng. Sau thời gian ngâm,  bạn bóp nhẹ hạt nếp nếu thấy nát vụn ra là được.,  Phần nhân: 100g đậu xanh cà vỏ rửa sạch,  ngâm nước khoảng 2 tiếng cho mềm rồi luộc hoặc hấp chín,  vớt ra để ráo. Xay nhuyễn đậu xanh,  sau đó cho vào chảo cùng 50g đường,  sên cho khô rồi vo viên tròn.,  Gói bánh: Cuốn lá tre hoặc lá chuối thành hình phễu. Múc 1 muỗng nếp đã ngâm vào trước tiếp đến là 1 viên nhân cuối cùng là 1 muỗng nếp. Dùng muỗng ấn cho phần nếp thật chặt. Gói kín rồi dùng lạt buộc chặt lại.,  Luộc bánh: Đun sôi nước mới bỏ bánh vào,  luộc ngập nước trong khoảng 3 tiếng. Lưu ý,  nồi luộc không được dính dầu mỡ nếu không bánh sẽ không chín được. Bánh chín,  vớt ra xả dưới vòi nước lạnh rồi treo lên cho ráo.,  Thành phẩm: Bánh tro chín tạo thành khối,  vàng óng,  có độ trong như thạch. Cắn một miếng sẽ thấy vỏ bánh dẻo và cảm nhận vị ngọt bùi từ nhân đậu. Bạn có thể chấm cùng mật mía để tăng vị ngọt của bánh.",bánh tro,379,30,6,14,18,https://image.cooky.vn/recipe/g6/55478/s640/9777862e-41e9-4c60-9e91-b8468f2f8e6e.jpeg
87,Cơm TấM SườN Bì Chay,"Cơm tấm sườn bì chay thơm ngon, nóng hổi với phần thịt chay được tẩm ướp vừa miệng, thêm phần bì dai dai, giòn giòn ăn kèm với mỡ hành béo béo, dưa leo giòn rụm, chan cùng với nước mắm chay sánh kẹo, đậm đà tất cả hòa quyện với nhau tạo nên một hương vị rất đặc biệt. Bạn hãy cùng Cooky vào bếp trổ tài ngay nhé!",Món chay,4 người,35,"Sườn non chay 7 miếng,  Gạo 50gr,  Đậu nành 50gr,  Bún tàu 2 lọn,  Hẹ lá 50gr,  Ớt hiểm đỏ băm 2 muỗng canh,  Tương ớt 1 muỗng canh,  Tương cà 2 muỗng canh,  Ngũ vị hương 1 muỗng cà phê,  Muối 1 muỗng cà phê,  Đường 5 muỗng canh,  Tiêu 1 muỗng canh,  Hạt nêm chay 15gr,  Dầu hào chay 1 muỗng canh,  Dầu màu điều 1 muỗng canh,  Nước tương 1 muỗng cà phê,  Nước mắm chay 4 muỗng canh,  Gạo tấm 500gr,  Ăn kèm: Đồ chua","Sốt ướp: Cho 1 muỗng canh tương ớt,  2 muỗng canh tương cà,  1 muỗng cà phê ngũ vị hương,  1 muỗng cà phê muối,  3 muỗng canh đường,  1 muỗng canh tiêu,  1 muỗng canh hạt nêm chay,  1 muỗng canh dầu hào chay,  1 muỗng canh dầu màu điều vào chén,  trộn đều. 4 miếng sườn non ngâm mềm,  vắt ráo nước rồi đập dập,  sau đó ướp với nước sốt 30 phút.,  Chiên sườn: Bắc chảo khác lên bếp,  cho 3 muỗng canh dầu ăn vào đun sôi,  sau đó cho 4 miếng sườn vào chiên vàng 2 mặt rồi cho tiếp 50ml nước lọc vào khìa đến khi sườn cháy xém đẹp mắt là được.,  Bì heo: Để làm thính bạn cho 50gr gạo rang vàng và 50gr đậu nành rang vàng vào cối xay nhuyễn. Kế đến,  để làm thịt cho bì bạn xé sợi 2 miếng sườn chay (ngâm mềm,  vắt ráo nước) rồi cắt khúc 3 - 4cm. Sau đó,  bắc chảo lên bếp,  cho 1 muỗng canh dầu ăn vào đun sôi,  cho tiếp phần sườn non vào cùng với 1 muỗng cà phê hạt nêm,  1 muỗng cà phê nước tương xào vào 2 phút. Cuối cùng,  bạn trộn thính,  thịt chay vào 2 lọn bún tàu đã trụng mềm,  dùng tay trộn đều để bún tàu được áo hoàn toàn bởi thính.,  Mỡ hành: Cắt hạt lựu 1 miếng sườn non chay (ngâm mềm,  vắt ráo nước) rồi chiên giòn trên chảo nóng với 50ml dầu ăn. Khi sườn đã giòn,  cho qua chén 50gr hẹ lá cắt khúc nhỏ,  cho tiếp 1 muỗng cà phê hạt nêm chay vào trộn đều.,  Nước mắm chay: Cho 4 muỗng canh nước mắm chay,  2 muỗng canh nước lọc,  2 muỗng canh đường lên nồi,  khuấy đều,  nấu sôi cho tan đường,  tắt bếp,  cho 2 muỗng canh ớt băm vào khuấy đều là hoàn thành.,  Múc cơm tấm nóng hổi ra đĩa,  cho thêm phần sườn,  bì chay,  cùng với đồ chua ăn kèm lên trên,  chang nước mắm chua ngọt sánh kẹo và thưởng thức ngay thôi. Cơm tấm sườn bì chay thơm ngon,  nóng hổi với phần thịt chay được tẩm ướp vừa miệng,  thêm phần bì dai dai,  giòn giòn ăn kèm với mỡ hành béo béo,  dưa leo giòn rụm,  chan cùng với nước mắm chay sánh kẹo,  đậm đà tất cả hòa quyện với nhau tạo nên một hương vị rất đặc biệt",cơm chay,451,21,10,23,12,https://image.cooky.vn/recipe/g6/55571/s640/cac9c005-63f6-4083-9248-450acb7263c0.jpeg
88,Chè Nếp Khoai Môn Lá Dứa,"Chè nếp món chè quen thuộc với rất nhiều người với các hạt nếp được nấu chín dẻo ngọt nay có thêm khoai môn béo béo bùi bùi, nấu với nước lá dứa cho màu xanh bắt mắt, hương thơm khó cưỡng, ăn kèm nước cốt dừa đảm bảo sẽ làm bạn không thể nào cưỡng nỗi. Hãy đến ngay với công thức món chè nếp khoai môn lá dứa hấp dẫn cùng Cooky nào!",Món mặn,4 người,20,"Khoai môn 200gr,  Nếp ngỗng 250gr,  Lá dứa 8 lá,  Nước cốt dừa 170gr,  Muối 30gr,  Đường 170gr","Khoai môn cắt khối nhỏ vừa ăn khoảng 1cm đem ngâm với 1 l nước và 1 thìa cf muối trong 15 p vớt ra rửa lại để ráo,  hấp khoai 20 phút rồi đem ra để nguội. Nếp vo sạch ngâm với 300ml nước cốt lá dứa trong vòng 30 phút,  Cho nếp vào nồi cùng 2 lá dứa bó lại nấu thật nhỏ lửa đến khi nếp nở ra vừa phải,  cho vào nồi 150gr đường 130ml nước dừa dảo,  1 thìa cà phê muối,  nấu thêm 5 phút cho phần khoai đã để nguội vào đảo đều,  nấu thêm 15 phút là xong.,  Cho 250gr nước cốt dừa cùng 3 lá dứa bó lại vào nồi cùng nửa muỗng cà phê muối 2 muỗng canh đường nấu sôi đến khi nước cốt vừa sệt lại,  múc chè ra chén rưới nước cốt dừa lên trên.,  Chè thành phẩm các hạt nếp dẻo xanh trong nhưng không nát,  có vị ngọt thanh chè có thể ăn khi còn nóng hoặc bỏ vào tủ mát tuỳ theo sở thích.",chè nếp khoai môn lá dứa,342,39,4,25,9,https://image.cooky.vn/recipe/g6/55439/s640/ffe83343-dcf9-411c-a463-5cfd4ae9aa70.jpeg
89,Ba Chỉ Và Mực Nướng Sữa Đặc,"Còn gì tuyệt vời hơn khi cuối tuần rảnh rỗi được sum họp với người thân, bạn bè cùng làm thịt ba chỉ hay mực nướng nhâm nhi? Thịt ướp ngon là phải thấm đều vị, thịt ngọt, mềm và dai vừa. Mỗi người sẽ có một bí quyết ướp thịt riêng cho mình, có thể bằng mật ong, trứng gà, hay thêm ít dầu hào. Tuy nhiên có một bí quyết mà không phải ai cũng biết đó là dùng sữa đặc để làm sốt ướp. Cùng vào bếp học ngay cách làm món ba chỉ và mực nướng sữa đặc thơm ngon cho bữa tiệc cuối tuần nhé!",Món mặn,2 người,20,"Thịt ba chỉ heo 300gr,  Mực ống size vừa 300gr,  Sữa đặc tuýp Ông thọ 20gr,  Ngũ vị hương 1/2 muỗng canh,  Nước tương 3 muỗng canh,  Dầu hào 2 muỗng canh,  Tương ớt 2 muỗng canh,  Tỏi 15gr,  Hành tím 15gr,  Ớt 4 trái,  Rau sống ăn kèm","Làm sốt ướp: Trộn đều 15gr tỏi băm,  15gr hành tím băm,  3 muỗng canh nước tương,  2 muỗng canh dầu hào,  1 muỗng cà phê tiêu,  1/2 muỗng canh ngũ vị hương,  2 muỗng canh tương ớt,  20gr sữa đặc tuýp Ông Thọ. Điểm nổi bật trong công thức này là sữa đặc,  nguyên liệu thay thế cho đường. Khi ướp với sữa đặc,  thịt vẫn giữ được vị ngọt và béo,  ăn cho cảm giác mềm mọng và ngọt thơm hơn thường ngày.,  Thịt ba chỉ cắt lát vừa ăn. Mực ống rửa sạch,  khứa đường xéo trên da. Ướp đều thịt ba chỉ và mực với sốt ướp trong 10 phút rồi đặt lên bếp nướng chín đều. Tránh nướng quá lâu trên bếp sẽ làm thịt khô cứng nhanh,  ngoài ra không nên nướng với nhiệt độ quá lớn,  thịt sẽ mau bị cháy mà không chín.,  Làm sốt muối ớt đỏ chấm: Cho các nguyên liệu khô: 4 trái ớt đỏ tách hạt,  3gr lá chanh,  1 muỗng cà phê muối,  30ml nước cốt chanh vào máy xay. Khi lá chanh và ớt đã nhuyễn,  tiếp tục cho 3 muỗng canh sữa đặc Ông Thọ và 10ml nước cốt chanh vào xay chung đến khi sốt sánh lại thì cho ra chén.,  Bày ba chỉ và mực nướng ra đĩa,  ăn cùng xà lách rau sống và chấm sốt muối ớt đỏ. Thịt nướng mềm mọng cùng mực dai dai chấm sốt ớt đỏ cay cay sẽ khiến cả nhà bạn thích mê. Còn chờ gì nữa mà không vào bếp trổ tài ngay thôi!",ba chỉ và mực nướng sữa đặc,524,34,6,10,7,https://image.cooky.vn/recipe/g6/55647/s640/3e8517cb-d7b2-4f0b-90c2-3dd338028991.jpeg
90,Nem Chay Váng Đậu,"Nem chay váng đậu thanh đạm cho những ngày hè nóng bức,  với cách cuộn nem trong váng đậu dài rồi mới cắt ngắn, sẽ tạo được các miếng nem vát chéo lộ rõ phần nguyên liệu tươi ngon đầy màu sắc thật bắt mắt. Món ăn chay ngon như thế này không chỉ thanh mát trong nguyên liệu. Mà còn thanh tịnh, nhẹ nhõm, bay bổng theo màu sắc, hình ảnh hết sức thẩm mỹ.",Món chay,4 người,15,"Váng đậu tươi 300gr,  Cà rốt 50gr,  Ớt chuông đỏ 50gr,  Nấm hương tươi 50gr,  Chả lụa chay 50gr,  Giá đỗ 50gr,  Hành lá 70gr,  Dầu ăn 1 muỗng canh,  Tỏi băm 1 muỗng canh,  Ớt băm 1 muỗng canh,  Nước tương 3 muỗng canh,  Đường 1 muỗng canh,  Tương cà 1 muỗng canh,  Tương ớt 1 muỗng canh","Đầu tiêu,  rau củ sơ chế sạch để ráo nước. 50gr cà rốt,  50gr ớt chuông đỏ,  50gr nấm hương tươi,  50gr chả lụa chay,  thái sợi dày khoảng 1cm.,  Sau đó,  bắt nồi nước cho sôi,  cho cà rốt vào trụng sơ rồi vớt ra cho vào âu nước lạnh để giữ được độ giòn vào màu sắc. Làm tương tự với nấm hương và giá đỗ.,  300gr váng đậu tươi rửa sạch rồi để ráo ( nếu váng đậu khô thì luộc trước khi cuộn),  sau đó trải dài váng đậu lên thớt,  cho các loại rau củ và chả vào,  sau đó từ từ cuộn tròn lại sao cho váng đậu không bị rách.,  Tiếp theo,  dùng lá hành trụng qua nước sôi cho mềm cột 2 đầu nem chay lại rồi dùng dao cắt làm đôi.,  Làm nước chấm: Cho 1 muỗng canh dầu ăn vào chảo để nóng,  cho 1 muỗng canh tỏi băm,  1 muỗng canh ớt băm vào phi thơm,  tiếp theo cho 3 muỗng canh nước tương,  1 muỗng canh đường,  1 muỗng canh tương cà,  1 muỗng canh tương ớt,  khuấy đều cho tan hỗn hợp. Đợi sôi lại thì tắt bếp để nguội.,  Trình bày nem chay váng đậu ra dĩa,  trang trí thêm ngò rí cho đẹp mắt hơn. Khi ăn,  chấm nem chay kèm với sốt nước tương cay cay rồi thưởng thức. Món ăn thanh đạm tươi mát thích hợp cho những ngày rằm hoặc những ngày hè nắng nóng.",nem chay váng đậu,239,34,8,27,11,https://image.cooky.vn/recipe/g6/55607/s640/40f74443-4421-46e1-a07f-6e0c9ab4c309.jpeg
91,Nước Mắm Chay Từ Trái Thơm,"Nước mắm chay làm từ thơm có mùi thơm hấp dẫn, vị ngọt, chấm rau luộc hoặc các món chiên rán đều ngon tuyệt. Cách làm nước mắm chay từ quả dứa – bí quyết không chỉ riêng cho người ăn chay trường. Nước mắm chay từ quả dứa còn là loại gia vị được nhiều chị em nội trợ yêu thích vì loại gia vị tự chế biến này rất tốt cho sức khỏe.",Món chay,4 người,15,"Thơm chín 500gr,  Nấm hương khô 20gr,  Hạt ngò khô 1 muỗng cà phê,  Hoa hồi 2 tai,  Quế cây 5gr,  Muối hột 120gr,  Đường phèn vàng 150gr,  Hắc xì dầu 1/2 muỗng canh,  Củ cải muối 50gr","500gr thơm chín để nguyên vỏ nướng trên bếp đến khi thơm dậy mùi thơm và chín đều thì gọi vỏ,  cắt thành lát mỏng.,  Cho 150gr đường phèn vàng vào nồi,  thắng màu caramel để nước mắm có màu vàng đẹp hơn. Sau đó đổ vào 1, 5 lít nước lọc,  thêm 500ml nước ngâm nấm hương khô.,  Thêm vào 1 muỗng cà phê hạt ngò,  5gr quế cây,  2 tai hoa hồi,  50gr củ cải muối cắt khúc,  50gr nấm hương ngâm nở,  120gr muối hột,  thơm nướng lát,  rồi ninh trong vòng 30 phút.,  Sau đó,  vớt bỏ hết xác,  thêm vào nước mắm 1/2 muỗng canh hắc xì dầu để màu nước mắm đẹp hơn. Sau đó lược qua rây 1 lần nữa để nước mắm được trong hơn.,  Để nguội nước mắm,  rồi cho nước mắm vào chai thủy tinh khô,  đậy kín nắp để bảo quản được lâu hơn. Có thể dùng được 1 tháng nếu bảo quản đúng cách.",nước mắm chay từ trái thơm,442,30,8,16,6,https://image.cooky.vn/recipe/g6/55608/s640/a9721b4c-3a9b-467b-8086-b85576c9ad5b.jpeg
92,Salad Mực Nướng,Salad luôn là lựa chọn lý tưởng cho bữa ăn ngày hè như thế này và bạn vẫn có thể biến tấu món salad thông thường thành món ăn vừa mát lành vừa đầy đủ chất dinh dưỡng cho cơ thể. Hãy cùng làm món salad mực nướng với sốt sữa đặc Ông Thọ ngon sánh mịn để thưởng thức và cảm nhận nhé!,Món mặn,2 người,50,"Mực ống 50gr,  Xà lách lo lo xanh 50gr,  Dưa leo 50gr,  Cà chua bi 50gr,  Cà rốt 50gr,  Rau mầm 20gr,  Tỏi 15gr,  Hành tím 15gr,  Nước tương 3 muỗng canh,  Dầu hào 2 muỗng canh,  Tương ớt 2 muỗng canh,  Ngũ vị hương 1/2 muỗng canh,  Nước cốt chanh 50ml,  Mayonnaise 20gr,  Tiêu 1 muỗng cà phê,  Sữa đặc tuýp Ông Thọ 50gr","Pha sốt ướp mực: Trộn đều 15gr tỏi băm,  15gr hành tím băm,  3 muỗng canh nước tương,  2 muỗng canh dầu hào,  1 muỗng cà phê tiêu,  1/2 muỗng canh ngũ vị hương,  2 muỗng canh tương ớt,  20gr sữa đặc tuýp Ông Thọ.,  Mực ống rửa sạch,  khứa đường xéo trên da. Ướp đều mực với sốt ướp trong 10 phút rồi cho lên bếp nướng chín đều.,  Làm sốt salad: Trộn đều 20gr mayonnaise,  30gr sữa đặc tuýp Ông Thọ,  50ml nước cốt chanh vào chén nhỏ. Vị ngọt thơm và độ sánh mịn từ sữa đặc Ông Thọ sẽ khiến sốt salad của chúng ta có hòa quyện và thơm ngon.,  Dưa leo cắt khoanh tròn mỏng. Cà rốt cắt sợi. Rau mầm tím rửa sạch. Xà lách lo lo xanh cắt nhỏ. Cà chua bi cắt đôi. Cho salad vào thố nhỏ,  thêm mực cắt khoanh lên trên,  rưới sốt là có thể thưởng thức.,  Như vậy chỉ với các bước đơn giản là các bạn đã chế biến xong món salad mực nướng dẫn thơm ngon vô cùng độc đáo cho bữa ăn gia đình. Món ăn không chỉ có màu sắc hấp dẫn,  bắt mắt mà khi ăn các bạn sẽ cảm nhận được những miếng mực ngon ngọt được kết hợp cùng với các loại rau củ giòn ngon. Chắc chắn món salad mực sẽ là một món ăn lý tưởng để các chị em phụ nữ đổi mới được thực đơn của bữa cơm gia đình mình.",salad mực nướng,300,23,10,30,23,https://image.cooky.vn/recipe/g6/55646/s640/845b50a4-1f4b-42f3-8842-2e2afdf2af22.jpeg
